run_id,mode,workers,repeat,ok,failed,total_txn_s,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
20260519T024646Z,baseline,1,1,1,0,39.590000,25.244070,25.244070,25.244070,25.244070
20260519T024646Z,baseline,1,2,1,0,39.590000,25.244360,25.244360,25.244360,25.244360
20260519T024646Z,baseline,1,3,1,0,39.732000,25.153760,25.153760,25.153760,25.153760
20260519T024646Z,baseline,8,1,8,0,317.427000,25.189424,25.141115,25.480946,25.594309
20260519T024646Z,baseline,8,2,8,0,317.619000,25.173648,25.150610,25.391907,25.465877
20260519T024646Z,baseline,8,3,8,0,317.931000,25.148273,25.192065,25.208374,25.214643
20260519T024646Z,baseline,32,1,32,0,1271.163000,25.159920,25.170670,25.439216,25.449065
20260519T024646Z,baseline,32,2,32,0,1271.212000,25.158827,25.159465,25.380779,25.457992
20260519T024646Z,baseline,32,3,32,0,1267.854000,25.225091,25.201325,25.329830,25.422881
20260519T024646Z,oncache,1,1,1,0,39.680000,25.186770,25.186770,25.186770,25.186770
20260519T024646Z,oncache,1,2,1,0,39.524000,25.286190,25.286190,25.286190,25.286190
20260519T024646Z,oncache,1,3,1,0,39.779000,25.124090,25.124090,25.124090,25.124090
20260519T024646Z,oncache,8,1,8,0,315.435000,25.348496,25.278980,25.614823,25.621821
20260519T024646Z,oncache,8,2,8,0,317.054000,25.218536,25.210575,25.436529,25.469578
20260519T024646Z,oncache,8,3,8,0,314.636000,25.412881,25.403865,25.626040,25.632088
20260519T024646Z,oncache,32,1,32,0,1267.290000,25.236892,25.217185,25.466718,25.573333
20260519T024646Z,oncache,32,2,31,1,1224.344000,25.294049,25.311090,25.599890,25.808999
20260519T024646Z,oncache,32,3,32,0,1271.963000,25.143733,25.135895,25.320064,25.330106
