run_id,mode,workers,repeat,ok,failed,total_txn_s,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
final_20260519T024618Z,baseline,1,1,0,0,0,0,0,0,0
final_20260519T024618Z,baseline,1,2,1,0,39.373000,25.383200,25.383200,25.383200,25.383200
final_20260519T024618Z,baseline,1,3,1,0,39.528000,25.283290,25.283290,25.283290,25.283290
final_20260519T024618Z,baseline,8,1,8,0,316.822000,25.236524,25.239880,25.382420,25.387396
final_20260519T024618Z,baseline,8,2,8,0,317.745000,25.163346,25.184295,25.284064,25.320565
final_20260519T024618Z,baseline,8,3,8,0,317.912000,25.149923,25.190980,25.209746,25.211941
final_20260519T024618Z,baseline,32,1,32,0,1271.683000,25.142788,25.166865,25.259427,25.332090
final_20260519T024618Z,baseline,32,2,32,0,1272.405000,25.135238,25.071325,25.319730,25.329582
final_20260519T024618Z,baseline,32,3,32,0,1270.236000,25.178303,25.162940,25.400703,25.468867
final_20260519T024618Z,oncache,1,1,0,0,0,0,0,0,0
final_20260519T024618Z,oncache,1,2,1,0,39.717000,25.163650,25.163650,25.163650,25.163650
final_20260519T024618Z,oncache,1,3,1,0,39.493000,25.306050,25.306050,25.306050,25.306050
final_20260519T024618Z,oncache,8,1,8,0,317.102000,25.214075,25.246355,25.326608,25.352226
final_20260519T024618Z,oncache,8,2,8,0,316.956000,25.226391,25.157525,25.447430,25.478110
final_20260519T024618Z,oncache,8,3,8,0,316.114000,25.293112,25.278565,25.427797,25.466487
final_20260519T024618Z,oncache,32,1,32,0,1258.703000,25.409978,25.452455,25.792966,25.871146
final_20260519T024618Z,oncache,32,2,32,0,1262.288000,25.336914,25.348605,25.545073,25.622391
final_20260519T024618Z,oncache,32,3,32,0,1268.107000,25.220377,25.208170,25.331577,25.420403
